Final Year,Ward,Demand,TotalRecovery
2004,16,5.297755311,4.225743873
2005,16,5.92455157,4.6186564
2006,16,5.23708775,4.154920621
2007,16,5.680863335,4.098489682
2008,16,6.099285263,5.142446055
2009,16,5.363976648,3.929243107
2010,16,5.576521418,4.019285918
2011,16,6.053403647,4.718638729
2012,16,7.518208563,6.573663929
2013,16,8.465028697,7.370098602
2014,16,10.00399149,9.305297713
2015,16,10.58482513,9.85556075
2016,16,10.69154653,10.04859274
2017,16,15.48773035,11.69938046
2018,16,17.05693031,10.66927988
2004,17,16.11236756,14.11208667
2005,17,18.27552611,16.2680016
2006,17,15.86846387,14.08842687
2007,17,16.15574042,13.45917342
2008,17,18.01740675,15.54566685
2009,17,15.23783384,12.32047866
2010,17,15.95807488,12.43608601
2011,17,16.0804817,12.81416267
2012,17,18.34593334,15.68078712
2013,17,17.89426119,16.7695274
2014,17,23.12866926,22.78941441
2015,17,24.20302286,24.10592416
2016,17,24.64121456,23.72149624
2017,17,35.86113531,29.31592505
2018,17,38.83215815,20.05553927
2004,38,0.905946603,0.475969976
2005,38,1.264751526,0.861463737
2006,38,1.021071942,0.597884347
2007,38,1.159514456,0.696819196
2008,38,1.575913722,1.189319618
2009,38,1.513847517,0.866590092
2010,38,1.640181037,0.931337704
2011,38,1.856415994,1.056701572
2012,38,2.421422791,1.585449483
2013,38,3.183714802,2.414890461
2014,38,3.869117836,3.240227625
2015,38,3.548759331,2.959894177
2016,38,4.342484328,3.654448724
2017,38,5.831073976,3.96294343
2018,38,6.664397031,3.584202799
2003,39,0.313426965,0.214828417
2004,39,0.256826529,0.23953229
2005,39,0.420395315,0.308091604
2006,39,0.366328498,0.260789825
2007,39,0.473771041,0.414303666
2008,39,0.512458467,0.407293181
2009,39,1.784742562,0.45133677
2010,39,2.150816706,0.50964133
2011,39,2.192136301,0.471302643
2012,39,2.571482165,0.720378944
2013,39,1.373042995,1.096221287
2014,39,1.528092871,1.493311628
2015,39,1.626448136,1.657795445
2016,39,1.735596749,1.768815852
2017,39,2.908356197,2.566343682
2018,39,3.397844121,2.034605313
2005,51,0.031303599,0.0242593
2006,51,0.031325377,0.008452809
2007,51,0.044927782,0.006987768
2008,51,0.064436898,0.008169139
2009,51,0.082971123,0.007020484
2010,51,0.097058487,0.0079347
2011,51,0.106539301,0.06679008
2012,51,0.053690622,0.002054872
2013,51,0.077936636,0.0261376
2014,51,0.249204171,0.0164509
2015,51,0.383306396,0.1022837
2016,51,0.680474862,0.2203772
2017,51,0.722279535,0.4232738
2018,51,0.495245893,0.1514195
2007,92,0.710029846,0.544795568
2008,92,0.539548439,0.596684767
2009,92,0.451957503,0.529782972
2010,92,0.789496216,0.836609639
2011,92,1.166313715,1.284853693
2012,92,2.03334588,2.04400072
2013,92,2.651703842,2.564270414
2014,92,3.416587238,3.607119686
2015,92,4.062046651,4.805877866
2016,92,6.630021221,6.765347021
2017,92,8.743343811,8.838853
2018,92,9.757186635,7.15490518
2007,93,0.608481109,0.450800337
2008,93,0.528375046,0.462819657
2009,93,0.350174404,0.370487504
2010,93,0.529382714,0.532247852
2011,93,0.631532485,0.678993406
2012,93,0.949323206,1.040531141
2013,93,1.504385865,1.499940084
2014,93,1.815788731,1.938223959
2015,93,2.708191256,2.787879293
2016,93,3.095087476,3.20360478
2017,93,5.192356784,4.721902424
2018,93,5.759619718,3.955456431
2007,94,0.242315862,0.154273095
2008,94,0.255588765,0.209841896
2009,94,0.602506403,0.173543557
2010,94,0.587655818,0.268027678
2011,94,0.623112448,0.293905
2012,94,0.877098686,0.483729786
2013,94,0.802320176,1.460355816
2014,94,1.049791341,1.262986123
2015,94,1.144669143,1.033240833
2016,94,1.542009662,1.139242982
2017,94,2.136960091,1.378156286
2018,94,2.580612502,1.142778103
